1761849000000,5110
1761935400000,4938
1762021800000,1861
1762108200000,5537
1762194600000,8610
1762281000000,2864
1762367400000,5110
1762453800000,7440
1762540200000,7478
1762626600000,3960
1762713000000,6054
1762799400000,6805
1762885800000,5135
1762972200000,9010
1763058600000,3335
1763145000000,2388
1763231400000,1397
1763317800000,920
1763404200000,4648
1763490600000,822
1763577000000,6234
1763663400000,3479
1763749800000,992
1763836200000,1064
1763922600000,7848
1764009000000,1149
1764095400000,8755
1764181800000,1102
1764268200000,3796
1764354600000,724
1764441000000,1964
1764527400000,3566
1764613800000,1531
1764700200000,7871
1764786600000,7077
1764873000000,8682
1764959400000,4901
1765045800000,8963
1765132200000,3763
1765218600000,590
1765305000000,4479
1765391400000,1512
1765477800000,2816
1765564200000,4555
1765650600000,7257
1765737000000,360
1765823400000,6688
1765909800000,6029
1765996200000,4239
1766082600000,3033
1766169000000,3751
1766255400000,443
1766341800000,3175
1766428200000,4236
1766514600000,5271
1766601000000,3402
1766687400000,1525
1766773800000,5756
1766860200000,7127
1766946600000,1452
1767033000000,3733
1767119400000,4319
1767205800000,8347
1767292200000,2758
1767378600000,5167
1767465000000,1814
1767551400000,5173
1767637800000,4739
1767724200000,3609
1767810600000,2492
1767897000000,4557
1767983400000,10027
1768069800000,6132
1768156200000,5251
1768242600000,2890
1768329000000,4881
1768415400000,5968
1768501800000,6731
1768588200000,3757
1768674600000,9131
1768761000000,8167
1768847400000,2193
1768933800000,3546
1769020200000,3825
1769106600000,2410
1769193000000,2684
1769279400000,9820
1769365800000,985
1769452200000,5737
1769538600000,4582
1769625000000,4669
1769711400000,4890
1769797800000,4243
1769884200000,401
1769970600000,908
1770057000000,5852
1770143400000,2448
1770229800000,5864
1770316200000,6340
1770402600000,6393
1770489000000,3672
1770575400000,2425
1770661800000,7281
1770748200000,5705
1770834600000,3735
1770921000000,5898
1771007400000,6651
1771093800000,2534
1771180200000,5331
1771266600000,3705
1771353000000,3546
1771439400000,13069
1771525800000,4693
1771612200000,6828
1771698600000,5038
1771785000000,5072
1771871400000,5054
1771957800000,5416
1772044200000,7078
1772130600000,3636
1772217000000,1969
1772303400000,4668
1772389800000,2389
1772476200000,5827
1772562600000,2323
1772649000000,6700
1772735400000,4775
1772821800000,4477
1772908200000,3592
1772994600000,5348
1773081000000,6288
1773167400000,1991
1773253800000,5850
1773340200000,4370
1773426600000,5419
1773513000000,6608
1773599400000,2561
1773685800000,2243
1773772200000,5447
1773858600000,8626
1773945000000,2347
1774031400000,156
1774117800000,157
1774204200000,7534
1774290600000,2404
1774377000000,7114
1774463400000,2705
1774549800000,3847
1774636200000,6215
1774722600000,3318
1774809000000,5573
1774895400000,888
1774981800000,5990
1775068200000,3929
1775154600000,8378
1775241000000,8574
1775327400000,6534
